method	dataset	sample_id	cancer	platform	sender_compartment	receiver_compartment	ligand	receptor	pathway	commot_mean_score	sender_spots	receiver_spots	distance_threshold_array_units
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	SPP1	CD44	SPP1	0.05052515426655549	360	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.004412014742646328	1187	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	SPP1	ITGAV	SPP1	0.00017693800005640195	1187	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	ambiguous_or_low_signal	SPP1	ITGAV	SPP1	0.00024267157164172687	1187	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	tumor_like	SPP1	ITGAV	SPP1	6.907648690746472e-05	992	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.004753043287265307	992	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	SPP1	ITGAV	SPP1	0.0006736654440824449	992	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	tumor_like	SPP1	ITGAV	SPP1	0.0002782782335774983	360	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	SPP1	ITGAV	SPP1	0.0008556337301431009	360	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	SPP1	ITGAV	SPP1	0.018491318839245714	360	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	MIF	CD74	MIF	0.004990984614073296	1187	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	MIF	CD74	MIF	0.0017069820846525078	1187	992	2.5
