dataset	sample_id	cancer	pathway	receiver_compartment	target_genes_in_panel	target_genes_detected	target_genes_detected_list	receiver_spots	receiver_target_mean	other_compartment_target_mean	receiver_target_enrichment	receiver_target_positive_spot_fraction	receiver_target_percentile	target_activation_support	matrix_rows	matrix_cols	matrix_nnz
GSE300445	GSM9060733_AdjIII-0022	melanoma	CXCL chemokine	stroma_fibroblast	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	1687	0.6185113	2.55683	0.24190552	0.6716064	0.6	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	CXCL chemokine	endothelial	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0	0	1.3818592	7.236627e-10	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	CXCL chemokine	ambiguous_or_low_signal	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	729	1.6786204	1.2765336	1.3149833	0.96433471	0.8	1	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	ECM-integrin	tumor_like	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	367	23.943688	23.773685	1.0071509	0.9972752	0.8	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	ECM-integrin	immune	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	0	0	23.796103	4.2023687e-11	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	ECM-integrin	stroma_fibroblast	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	1687	24.34723	22.94779	1.0609837	0.99881446	1	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	ECM-integrin	endothelial	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	0	0	23.796103	4.2023687e-11	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	ECM-integrin	ambiguous_or_low_signal	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	729	22.446426	24.275127	0.9246677	0.98353909	0.6	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	EGF/ERBB	tumor_like	8	8	EGFR,EGR1,FOS,JUN,DUSP6,SPRY2,AREG,EREG	367	4.2935967	2.5592405	1.677684	0.9972752	1	1	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	EGF/ERBB	immune	8	8	EGFR,EGR1,FOS,JUN,DUSP6,SPRY2,AREG,EREG	0	0	2.7879536	3.5868602e-10	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	EGF/ERBB	stroma_fibroblast	8	8	EGFR,EGR1,FOS,JUN,DUSP6,SPRY2,AREG,EREG	1687	1.9762893	4.0372947	0.4895083	0.84113811	0.6	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	EGF/ERBB	endothelial	8	8	EGFR,EGR1,FOS,JUN,DUSP6,SPRY2,AREG,EREG	0	0	2.7879536	3.5868602e-10	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	EGF/ERBB	ambiguous_or_low_signal	8	8	EGFR,EGR1,FOS,JUN,DUSP6,SPRY2,AREG,EREG	729	3.9082647	2.3903359	1.6350274	0.98216735	0.8	1	18085	2783	18900716
