method	dataset	sample_id	cancer	platform	sender_compartment	receiver_compartment	ligand	receptor	pathway	lr_means	cellphone_pvals	ligand_props	receptor_props
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	ambiguous_or_low_signal	EGF	EGFR	EGF/ERBB	0.12481849842077107	0.91	0.19309352517985612	0.08898776418242492
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	endothelial	CCL2	CCR2	CCL chemokine	0.12371275211551679	0.51	0.06896551724137931	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	stroma_fibroblast	EGF	EGFR	EGF/ERBB	0.12356333641367391	1.0	0.19309352517985612	0.1070811744386874
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	CCL2	CCR2	CCL chemokine	0.12314862873354836	0.87	0.11290322580645161	0.0867630700778643
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	endothelial	HBEGF	EGFR	EGF/ERBB	0.12273495152735313	0.25	0.13644214162348878	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	ambiguous_or_low_signal	EGF	EGFR	EGF/ERBB	0.12132592179932854	0.99	0.1229706390328152	0.08898776418242492
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	ambiguous_or_low_signal	EGF	EGFR	EGF/ERBB	0.12036187453716574	0.76	0.10344827586206896	0.08898776418242492
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	stroma_fibroblast	EGF	EGFR	EGF/ERBB	0.12008339256655455	1.0	0.1229706390328152	0.1070811744386874
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	stroma_fibroblast	EGF	EGFR	EGF/ERBB	0.11911474354810149	0.76	0.10344827586206896	0.1070811744386874
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	stroma_fibroblast	CCL2	CCR2	CCL chemokine	0.11825572585073035	0.62	0.06896551724137931	0.1084628670120898
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	endothelial	CXCL9	CXCR3	CXCL chemokine	0.1177128630335162	0.11	0.11778929188255613	0.05172413793103448
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	endothelial	CCL2	CCR2	CCL chemokine	0.11752988244240645	0.58	0.11453237410071943	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	ambiguous_or_low_signal	EGF	EGFR	EGF/ERBB	0.11752495486815562	0.63	0.08620689655172414	0.08898776418242492
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	endothelial	CXCL9	CXCR3	CXCL chemokine	0.11701435533867771	0.14	0.09482758620689655	0.05172413793103448
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	ambiguous_or_low_signal	HBEGF	EGFR	EGF/ERBB	0.11667261214351408	0.2	0.125	0.08898776418242492
