dataset	sample_id	cancer	method	sender_compartment	receiver_compartment	ligand	receptor	pathway	ligand_mean_sender	receptor_mean_receiver	ligand_pct_sender	receptor_pct_receiver	adjacency_pairs	pilot_score	annotation_method	notes	null_model	fake_draws_requested	fake_draws_used	null_mean_score	null_ge_observed_n	empirical_p_ge	observed_to_null_mean_ratio	fake_pair_examples
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	DLL4	NOTCH1	NOTCH	0.14153328	4.6229839	0.11120472	0.93447581	332	3.8003028	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	9.9275964	79	0.79207921	0.3828019	CXCL9-ITGAV;EGF-NOTCH2;CCL2-TGFBR2;EGF-CXCR4;CXCL9-TGFBR1
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	DLL4	NOTCH1	NOTCH	0.25907258	4.683235	0.19858871	0.95534962	332	7.0470064	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	20.023634	75	0.75247525	0.35193444	HBEGF-ITGA2;HBEGF-ITGAV;EGF-NOTCH2;WNT5A-ITGAV;VEGFA-TGFBR2
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	DLL4	NOTCH1	NOTCH	0.25907258	4.6229839	0.19858871	0.93447581	4614	10.104977	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	29.337783	81	0.81188119	0.34443561	WNT5A-CXCR4;VEGFA-TGFBR2;WNT5A-TGFBR1;HBEGF-NOTCH2;EGF-TGFBR2
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	2.2535805	2.694187	0.76579612	0.89385004	5866	52.683588	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	25.11729	8	0.089108911	2.0975029	CXCL12-ITGA2;CXCL9-CXCR4;HBEGF-ITGA2;CXCL12-TGFBR1;CXCL9-TGFBR1
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	JAG1	NOTCH2	NOTCH	2.2535805	2.7076613	0.76579612	0.84576613	332	35.440894	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	18.318422	12	0.12871287	1.9347133	TGFB1-ITGA2;CCL2-CXCR4;CXCL9-CXCR4;CXCL12-NOTCH1;CXCL9-CXCR4
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	JAG1	NOTCH2	NOTCH	3.3850806	2.694187	0.87096774	0.89385004	332	52.970494	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	31.063054	15	0.15841584	1.7052571	CXCL9-NOTCH1;CCL2-EGFR;VEGFA-TGFBR1;CCL2-TGFBR1;CXCL9-CXCR4
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	JAG1	NOTCH2	NOTCH	3.3850806	2.7076613	0.87096774	0.84576613	4614	77.33122	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	51.231433	16	0.16831683	1.5094487	CCL2-TGFBR1;CCL2-TGFBR1;CCL2-TGFBR1;CXCL12-TGFBR1;CCL2-ITGA2
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	WNT5A	FZD5	WNT	0.31760741	0.19292334	0.17944398	0.17017692	5866	0.53167952	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	1.3156853	60	0.6039604	0.40410842	EGF-CCR2;DLL4-CCR2;CXCL9-CXCR4;EGF-CXCR3;DLL4-EGFR
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	WNT5A	FZD5	WNT	0.31760741	0.20362903	0.17944398	0.18850806	332	0.37563633	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	1.4581549	77	0.77227723	0.25761072	CXCL9-ITGA2;CXCL12-CCR2;CXCL9-EGFR;CXCL12-EGFR;CCL2-KDR
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	WNT5A	FZD5	WNT	1.0987903	0.19292334	0.50907258	0.17017692	332	1.2312234	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	2.8673168	50	0.5049505	0.42939915	CCL2-EGFR;HBEGF-CCR2;CCL2-KDR;HBEGF-CXCR4;DLL4-CXCR4
