dataset	sample_id	cancer	method	sender_compartment	receiver_compartment	ligand	receptor	pathway	ligand_mean_sender	receptor_mean_receiver	ligand_pct_sender	receptor_pct_receiver	adjacency_pairs	pilot_score	annotation_method	notes
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	WNT5A	FZD5	WNT	1.0987903	0.20362903	0.50907258	0.18850806	4614	1.8877567	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	EGF	EGFR	EGF/ERBB	0.036225779	0.69418703	0.036225779	0.1895535	5866	0.21820704	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	EGF	EGFR	EGF/ERBB	0.036225779	0.51008065	0.036225779	0.35181452	332	0.10732326	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	EGF	EGFR	EGF/ERBB	0.024193548	0.69418703	0.024193548	0.1895535	332	0.097546867	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	EGF	EGFR	EGF/ERBB	0.024193548	0.51008065	0.024193548	0.35181452	4614	0.10411898	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	HBEGF	EGFR	EGF/ERBB	3.4540859	0.69418703	0.84077506	0.1895535	5866	20.805788	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	HBEGF	EGFR	EGF/ERBB	3.4540859	0.51008065	0.84077506	0.35181452	332	10.233148	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	HBEGF	EGFR	EGF/ERBB	0.59375	0.69418703	0.37802419	0.1895535	332	2.3939627	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	HBEGF	EGFR	EGF/ERBB	0.59375	0.51008065	0.37802419	0.35181452	4614	2.5552534	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	COL1A1	ITGA2	ECM-integrin	20.293176	1.6293176	0.89806234	0.73883741	5866	286.89984	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	20.293176	0.71471774	0.89806234	0.45866935	332	84.240677	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	COL1A1	ITGA2	ECM-integrin	183.37802	1.6293176	1	0.73883741	332	1735.3629	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	183.37802	0.71471774	1	0.45866935	4614	1105.7918	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	1.147139	11.455041	0.58855586	0.96457766	1274	93.963962	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR1	TGFB	1.147139	4.659751	0.58855586	0.66390041	222	28.903399	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR1	TGFB	0.52697095	11.455041	0.33076467	0.96457766	222	32.640251	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.52697095	4.659751	0.33076467	0.66390041	7932	22.04789	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	1.147139	7.7247956	0.58855586	0.97547684	1274	63.365327	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR2	TGFB	1.147139	4.0088915	0.58855586	0.7480735	222	24.866262	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR2	TGFB	0.52697095	7.7247956	0.33076467	0.97547684	222	22.011206	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.52697095	4.0088915	0.33076467	0.7480735	7932	18.96831	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	CXCL12	CXCR4	CXCL chemokine	0.89918256	0.34059946	0.45504087	0.25340599	1274	2.1899816	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.89918256	0.19976289	0.45504087	0.16123296	222	0.97125409	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	CXCL12	CXCR4	CXCL chemokine	4.879668	0.34059946	0.91345584	0.25340599	222	8.9867859	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	4.879668	0.19976289	0.91345584	0.16123296	7932	8.7523111	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	CXCL9	CXCR3	CXCL chemokine	0.095367847	0.029972752	0.08719346	0.029972752	1274	0.020439829	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	0.095367847	0.041493776	0.08719346	0.03675163	222	0.021397109	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	CXCL9	CXCR3	CXCL chemokine	0.05690575	0.029972752	0.050978068	0.029972752	222	0.0092225908	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	0.05690575	0.041493776	0.050978068	0.03675163	7932	0.02120102	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	CCL2	CCR2	CCL chemokine	0.21253406	0.1280654	0.15803815	0.1280654	1274	0.19462964	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CCL2	CCR2	CCL chemokine	0.21253406	0.081209247	0.15803815	0.075874333	222	0.09332633	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	CCL2	CCR2	CCL chemokine	0.14700652	0.1280654	0.12448133	0.1280654	222	0.10179784	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	CCL2	CCR2	CCL chemokine	0.14700652	0.081209247	0.12448133	0.075874333	7932	0.10719135	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	VEGFA	KDR	VEGF	2.1553134	0.26158038	0.79836512	0.20708447	1274	4.0314774	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	VEGFA	KDR	VEGF	2.1553134	0.30527564	0.79836512	0.20391227	222	3.5577279	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	VEGFA	KDR	VEGF	0.6455246	0.26158038	0.39241257	0.20708447	222	0.91303648	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	VEGFA	KDR	VEGF	0.6455246	0.30527564	0.39241257	0.20391227	7932	1.769386	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	SPP1	CD44	SPP1	0.29155313	97.20436	0.15531335	0.99455041	1274	202.65256	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	SPP1	CD44	SPP1	0.29155313	37.304683	0.15531335	0.9253112	222	58.810007	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060733_AdjIII-0022	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	SPP1	CD44	SPP1	0.075281565	97.20436	0.066390041	0.99455041	222	39.568041	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
