dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	v3_score	dataset_recurrence_n	cellchat_supported	cellchat_probability	cellchat_p_value	target_supported	receiver_target_enrichment	receiver_target_percentile	target_genes_detected	joint_cellchat_target_support	evidence_category	public_top40_checked	public_evidence_grade	public_manual_review_category	public_source_ids	same_cancer_axis_evidence	interpretation_boundary
GSE300445	GSM9060735_AdjIII-0133	melanoma	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.922162	4	1	0.00594053557053214	0.0	1	1.384892	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855706_NSCLC_P4	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.920706	17	1	0.0158255472557568	0.0	1	5.5535927	1.0	9	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.92003	4	1	0.0327669830558387	0.0	1	1.4910573	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855707_NSCLC_P5	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.919747	15	1	0.00992467244601823	0.0	1	2.289905	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655164_P13	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.918966	12	1	0.0204140387726572	0.0	1	3.2417719	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	HBEGF	EGFR	EGF/ERBB	0.91751	4	1	0.00390645256105062	0.0	1	1.3626974	0.8	8	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855714_NSCLC_P12	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.916583	15	1	0.0230037285029276	0.0	1	1.660335	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855707_NSCLC_P5	NSCLC	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.91577	18	1	0.00823066541874184	0.0	1	1.4120999	0.8	5	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855712_NSCLC_P10	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.915699	16	1	0.00130109750345595	0.0	1	29.130413	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855716_NSCLC_P14	NSCLC	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.91545	18	1	0.0212228366862124	0.0	1	2.4489337	0.8	4	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855719_DLBCL_P1	DLBCL	immune	immune	CXCL9	CXCR3	CXCL chemokine	0.914705	13	1	0.0126207809924102	0.0	1	4.0561946	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655168_P24	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.914592	11	1	0.0148021210743519	0.0	1	3.3888566	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655167_P18	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.914492	11	1	0.00791469755039064	0.0	1	1.4624696	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655163_P11	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.913727	12	1	0.0313548916132673	0.0	1	5.4690823	1.0	9	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855707_NSCLC_P5	NSCLC	tumor_like	immune	MIF	CD74	MIF	0.913568	11	1	0.00842737974432988	0.04	1	1.2550799	1.0	5	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855720_DLBCL_P2	DLBCL	immune	immune	CXCL12	CXCR4	CXCL chemokine	0.913497	14	1	0.0342017457835224	0.0	1	12.727892	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855720_DLBCL_P2	DLBCL	immune	immune	CXCL9	CXCR3	CXCL chemokine	0.91332	13	1	0.00661095933038951	0.0	1	12.727892	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655168_P24	colorectal cancer	immune	immune	MIF	CD74	MIF	0.913213	5	1	0.155037226800894	0.0	1	15.361187	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855703_NSCLC_P1	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.91162	17	1	0.0149840178009732	0.0	1	1.5540305	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855711_NSCLC_P9	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.908021	15	1	0.0423919991579758	0.0	1	2.8811096	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855717_NSCLC_P15	NSCLC	immune	immune	SPP1	CD44	SPP1	0.90782	14	1	0.00836449173863789	0.0	1	1.6399458	0.8	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855717_NSCLC_P15	NSCLC	immune	immune	CCL2	CCR2	CCL chemokine	0.907567	12	1	0.00442055089753636	0.0	1	1.6991137	0.8	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655164_P13	colorectal cancer	immune	immune	MIF	CD74	MIF	0.906644	5	1	0.0695787454898425	0.0	1	5.0544599	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	tumor_like	HBEGF	EGFR	EGF/ERBB	0.905825	15	1	0.00346121272755196	0.0	1	1.8616941	1.0	8	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.905223	12	1	0.00206326003743406	0.0	1	1.9208594	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655167_P18	colorectal cancer	immune	immune	MIF	CD74	MIF	0.904722	5	1	0.154161286800043	0.0	1	4.1382909	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
