dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	v3_score	dataset_recurrence_n	cellchat_supported	cellchat_probability	cellchat_p_value	target_supported	receiver_target_enrichment	receiver_target_percentile	target_genes_detected	joint_cellchat_target_support	evidence_category	public_top40_checked	public_evidence_grade	public_manual_review_category	public_source_ids	same_cancer_axis_evidence	interpretation_boundary
GSE283052	GSM8655163_P11	colorectal cancer	immune	immune	MIF	CD74	MIF	0.903909	5	0	0.0	1.0	1	3.2186602	1.0	7	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655165_P15	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.900927	12	0	0.0	1.0	1	4.6830681	1.0	9	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855714_NSCLC_P12	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.900705	17	1	0.0086354270435578	0.0	0	0.90009006	0.6	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655163_P11	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.900607	12	0	0.0	1.0	1	2.4155082	1.0	6	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855704_NSCLC_P2	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.899659	17	1	0.00300434161038138	0.0	0	0.926416	0.6	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.89833	15	1	0.00120611385660468	0.01	0	0.3081717	0.6	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855720_DLBCL_P2	DLBCL	immune	immune	SPP1	CD44	SPP1	0.897553	14	0	0.0	1.0	1	8.5937795	1.0	6	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855705_NSCLC_P3	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.893774	17	1	0.0126075533267275	0.0	0	0.76709088	0.4	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655160_P07	colorectal cancer	stroma_fibroblast	stroma_fibroblast	WNT5A	FZD5	WNT	0.893077	11	1	0.000634784928131661	0.0	0	0.91018033	0.8	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855719_DLBCL_P1	DLBCL	immune	immune	TGFB1	TGFBR1	TGFB	0.890526	13	1	0.0144376671650773	0.0	0	0.64044007	0.6	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655158_P04	colorectal cancer	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.889289	11	1	0.00108065832932065	0.0	0	1.0792751	1.0	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855706_NSCLC_P4	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.888207	17	1	0.00167661650536317	0.0	0	0.65180689	0.4	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855703_NSCLC_P1	NSCLC	tumor_like	tumor_like	WNT5A	FZD5	WNT	0.88739	15	1	0.000315117755976388	0.01	0	0.66209914	0.4	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855705_NSCLC_P3	NSCLC	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.884982	15	0	0.0	1.0	1	1.3040734	1.0	7	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655166_P17	colorectal cancer	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.883198	11	0	0.0	1.0	1	1.8463063	1.0	7	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855706_NSCLC_P4	NSCLC	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.882247	15	0	0.0	1.0	1	1.7202694	1.0	7	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855717_NSCLC_P15	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.879967	15	1	0.00481708522543299	0.0	0	1.1082848	0.6	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655167_P18	colorectal cancer	immune	immune	CXCL12	CXCR4	CXCL chemokine	0.87898	5	1	0.011647317880392	0.0	0	0.7255649	0.4	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855706_NSCLC_P4	NSCLC	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.878412	17	0	0.0	1.0	1	5.0489486	1.0	7	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855706_NSCLC_P4	NSCLC	tumor_like	tumor_like	EGF	EGFR	EGF/ERBB	0.878037	15	0	0.0	1.0	1	1.9688999	1.0	8	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655165_P15	colorectal cancer	tumor_like	tumor_like	HBEGF	EGFR	EGF/ERBB	0.871736	11	1	0.000137082851819653	0.0	0	1.0704718	0.8	8	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast	stroma_fibroblast	DLL4	NOTCH1	NOTCH	0.871523	12	1	2.90986946037133e-05	0.0	0	0.87068539	0.8	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855716_NSCLC_P14	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.866078	17	0	0.0	1.0	1	1.3042312	0.8	6	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655165_P15	colorectal cancer	tumor_like	tumor_like	DLL4	NOTCH1	NOTCH	0.864193	11	0	0.0	1.0	1	1.2927783	1.0	7	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655162_P10	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.864187	11	0	0.0	1.0	1	1.664276	1.0	6	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855711_NSCLC_P9	NSCLC	immune	endothelial	SPP1	ITGAV	SPP1	0.86343	7	1	0.0186029333139932	0.0	0	0.32148645	0.2	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855719_DLBCL_P1	DLBCL	immune	immune	CCL2	CCR2	CCL chemokine	0.863213	12	0	0.0	1.0	1	3.011471	1.0	6	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060734_AdjIII-0113	melanoma	immune	immune	TGFB1	TGFBR2	TGFB	0.858952	1	1	0.00661319138548394	0.0	0	0.37811812	0.6	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655168_P24	colorectal cancer	immune	immune	CXCL12	CXCR4	CXCL chemokine	0.858561	5	0	0.0	1.0	1	2.5563535	1.0	7	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655163_P11	colorectal cancer	immune	immune	TGFB1	TGFBR2	TGFB	0.852169	5	1	0.000693894839952194	0.03	0	0.28976079	0.4	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060734_AdjIII-0113	melanoma	immune	immune	TGFB1	TGFBR1	TGFB	0.851902	1	1	0.00661319138548394	0.0	0	0.37811812	0.6	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855720_DLBCL_P2	DLBCL	immune	immune	JAG1	NOTCH2	NOTCH	0.838886	13	0	0.0	1.0	1	3.6960326	1.0	7	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855707_NSCLC_P5	NSCLC	endothelial	immune	CXCL12	CXCR4	CXCL chemokine	0.828175	7	1	0.00160350659310427	0.01	0	1.0750029	1.0	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855711_NSCLC_P9	NSCLC	endothelial	endothelial	TGFB1	TGFBR2	TGFB	0.826222	7	1	0.000799957759836766	0.03	0	0.23158854	0.4	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655164_P13	colorectal cancer	immune	immune	DLL4	NOTCH1	NOTCH	0.78756	4	1	7.64170317836789e-05	0.03	0	0.59807048	0.4	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655163_P11	colorectal cancer	immune	immune	CXCL9	CXCR3	CXCL chemokine	0.781867	3	0	0.0	1.0	1	3.3378572	1.0	7	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855711_NSCLC_P9	NSCLC	stroma_fibroblast	endothelial	TGFB1	TGFBR2	TGFB	0.774036	3	1	0.00118865643372537	0.0	0	0.23158854	0.4	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
