perturbation_family	expected_direction	scorer	sample_id	replicate	axis_id	steps	expected_steps	fully_monotonic	first_value	last_value
spike_strength	nondecreasing	cellchat	GSM7780153	4	axis_4	2	2	1	0.448535013918165	0.452649619327358
spike_strength	nondecreasing	cellchat	GSM7780153	5	axis_1	2	2	1	0.446181894948097	0.451690180179269
spike_strength	nondecreasing	cellchat	GSM7780153	5	axis_2	2	2	1	4.31030559457199e-05	8.02846005309423e-05
spike_strength	nondecreasing	cellchat	GSM7780153	5	axis_3	2	2	1	0.0148127251787369	0.0186938040692158
spike_strength	nondecreasing	cellchat	GSM7780153	5	axis_4	2	2	1	0.448098809146734	0.452195745857665
spike_strength	nondecreasing	cellchat	GSM7780154	1	axis_1	2	1	0	0.504254097547484	0.505993486456852
spike_strength	nondecreasing	cellchat	GSM7780154	1	axis_2	2	2	1	0.0	0.0001155348299766
spike_strength	nondecreasing	cellchat	GSM7780154	1	axis_3	2	2	1	0.022503431681056	0.0273402221295055
spike_strength	nondecreasing	cellchat	GSM7780154	1	axis_4	2	1	0	0.494489688827712	0.496552066946082
spike_strength	nondecreasing	cellchat	GSM7780154	2	axis_1	2	2	1	0.505245306826689	0.511012507072057
spike_strength	nondecreasing	cellchat	GSM7780154	2	axis_2	2	2	1	0.0	9.57885610768828e-05
spike_strength	nondecreasing	cellchat	GSM7780154	2	axis_3	2	2	1	0.0204924570543024	0.0255561129344067
spike_strength	nondecreasing	cellchat	GSM7780154	2	axis_4	2	2	1	0.495029526237488	0.499448474036022
spike_strength	nondecreasing	cellchat	GSM7780154	3	axis_1	2	1	0	0.503582528260871	0.50499092695431
spike_strength	nondecreasing	cellchat	GSM7780154	3	axis_2	2	2	1	0.0	9.38116371181859e-05
spike_strength	nondecreasing	cellchat	GSM7780154	3	axis_3	2	2	1	0.0176954636261171	0.0213450042292648
spike_strength	nondecreasing	cellchat	GSM7780154	3	axis_4	2	1	0	0.493054671456114	0.493133248718684
spike_strength	nondecreasing	cellchat	GSM7780154	4	axis_1	2	2	1	0.504035174048735	0.509015709474844
spike_strength	nondecreasing	cellchat	GSM7780154	4	axis_2	2	2	1	0.0	7.59767698931078e-05
spike_strength	nondecreasing	cellchat	GSM7780154	4	axis_3	2	2	1	0.0218983573602595	0.027233941644949
spike_strength	nondecreasing	cellchat	GSM7780154	4	axis_4	2	2	1	0.494522347959292	0.498562140739932
spike_strength	nondecreasing	cellchat	GSM7780154	5	axis_1	2	2	1	0.503787883387274	0.508546511397964
spike_strength	nondecreasing	cellchat	GSM7780154	5	axis_2	2	2	1	0.0	7.61345821177803e-05
spike_strength	nondecreasing	cellchat	GSM7780154	5	axis_3	2	2	1	0.0229337850995677	0.0283226822358605
spike_strength	nondecreasing	cellchat	GSM7780154	5	axis_4	2	2	1	0.494826050254789	0.49930535830729
spike_strength	nondecreasing	cellchat	GSM7780155	1	axis_1	2	2	1	0.296550961469511	0.301468863603636
spike_strength	nondecreasing	cellchat	GSM7780155	1	axis_2	2	2	1	9.16695232532849e-05	0.0001579844559226
spike_strength	nondecreasing	cellchat	GSM7780155	1	axis_3	2	2	1	0.0291195481308174	0.034111121521761
spike_strength	nondecreasing	cellchat	GSM7780155	1	axis_4	2	2	1	0.36208122345526	0.368024982213504
spike_strength	nondecreasing	cellchat	GSM7780155	2	axis_1	2	2	1	0.276544570112458	0.284117224489238
spike_strength	nondecreasing	cellchat	GSM7780155	2	axis_2	2	2	1	0.0001644527291689	0.0002627408138737
spike_strength	nondecreasing	cellchat	GSM7780155	2	axis_3	2	2	1	0.0303279813064094	0.0349428782287931
spike_strength	nondecreasing	cellchat	GSM7780155	2	axis_4	2	2	1	0.360123709578244	0.366366138940539
spike_strength	nondecreasing	cellchat	GSM7780155	3	axis_1	2	2	1	0.278920740694901	0.286748038476728
spike_strength	nondecreasing	cellchat	GSM7780155	3	axis_2	2	2	1	0.0001078548207537	0.0001982795871972
spike_strength	nondecreasing	cellchat	GSM7780155	3	axis_3	2	2	1	0.0277634082709551	0.0333267195387105
spike_strength	nondecreasing	cellchat	GSM7780155	3	axis_4	2	2	1	0.365729773030074	0.371350830521108
spike_strength	nondecreasing	cellchat	GSM7780155	4	axis_1	2	2	1	0.276705370496982	0.284871286180489
spike_strength	nondecreasing	cellchat	GSM7780155	4	axis_2	2	2	1	0.0001192152109993	0.0002093685809622
spike_strength	nondecreasing	cellchat	GSM7780155	4	axis_3	2	2	1	0.0281806418548242	0.0329280773809411
spike_strength	nondecreasing	cellchat	GSM7780155	4	axis_4	2	2	1	0.362656845129757	0.369299725793051
spike_strength	nondecreasing	cellchat	GSM7780155	5	axis_1	2	2	1	0.278488567770225	0.286354352875972
spike_strength	nondecreasing	cellchat	GSM7780155	5	axis_2	2	2	1	0.0001079984263838	0.0002003984470633
spike_strength	nondecreasing	cellchat	GSM7780155	5	axis_3	2	2	1	0.0260058772674516	0.030107500909501
spike_strength	nondecreasing	cellchat	GSM7780155	5	axis_4	2	2	1	0.36102416474195	0.367348816890061
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	1	axis_1	2	1	0	0.8333333333333333	0.7999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	1	axis_2	2	1	0	0.9333333333333332	0.9999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	1	axis_3	2	2	1	0.5333333333333333	0.5333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	1	axis_4	2	1	0	0.6	0.5333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	2	axis_1	2	1	0	0.8333333333333333	0.7666666666666666
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	2	axis_2	2	1	0	0.9333333333333332	0.9999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	2	axis_3	2	2	1	0.5333333333333333	0.7333333333333333
